name,img_link,description,description_url,short_description,type
MLB,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS8mz00l5JAKBRtt6mFl6BvYH_iYMFAYN1r5_z5-aFtkftQBLce,"Major League Baseball is a professional baseball league and the highest level of professional baseball in North America. One of the major professional sports leagues in the United States and Canada, MLB comprises 30 teams, divided equally between the National League and the American League, with 29 in the United States and 1 in Canada.",https://en.wikipedia.org/wiki/Major_League_Baseball,Baseball league,"['Organization', 'SportsOrganization', 'Thing', 'Corporation']"
United States Postal Service,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpIy-hc666n1ma9pV3BWS4GeRkanuZbVaFJ3srJyPwujnlsQne,"The United States Postal Service, also known as the Post Office, U.S. Mail, or Postal Service, is an independent agency of the executive branch of the United States federal government responsible for providing postal service in the U.S., its insular areas, and its associated states.",https://en.wikipedia.org/wiki/United_States_Postal_Service,Mail company,"['Corporation', 'GovernmentOrganization', 'Organization', 'Thing']"
Crédit Agricole,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRVAwirPPbMKnvDJTO-iSGkX9MDdTbWrW3vT5Exg2S9s0aMgW_l,"Crédit Agricole Group, sometimes called La banque verte, is a French international banking group and the world's largest cooperative financial institution.",https://en.wikipedia.org/wiki/Cr%C3%A9dit_Agricole,Consumer banking corporation,"['Organization', 'Thing', 'Corporation']"
Microsoft Excel,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQw5u0S5Py2rdoTMZNX5H7nEX4Of867X6f3SqcoNqFsoB1yCmeM,"Microsoft Excel is a spreadsheet editor developed by Microsoft for Windows, macOS, Android, iOS and iPadOS. It features calculation or computation capabilities, graphing tools, pivot tables, and a macro programming language called Visual Basic for Applications.",https://en.wikipedia.org/wiki/Microsoft_Excel,Computer program,"['SoftwareApplication', 'Thing']"
HBO,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSATY9v-lP1I--ryBjmYEzc-6G0ILp8KX3HtRMEq_4x_3Y3JsOR,"Home Box Office is an American pay television network, which is the flagship property of namesake parent-subsidiary Home Box Office, Inc., itself a unit owned by Warner Bros. Discovery. The overall Home Box Office business unit is based at Warner Bros.",https://en.wikipedia.org/wiki/HBO,Cable television company,"['Organization', 'TheaterGroup', 'Thing', 'Corporation']"
WPS Office,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIVZz4r-ZuW2x4RvoI7YRJZqeHK4UCCu84LCnh6gO4XJjoQkpq,"WPS Office is an office suite for Microsoft Windows, macOS, Linux, iOS, Android, Fire OS and HarmonyOS developed by Zhuhai-based Chinese software developer Kingsoft. It also comes pre-installed on Fire tablets.",https://en.wikipedia.org/wiki/WPS_Office,Software,"['SoftwareApplication', 'Thing']"
The Office,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRiBSPnA_aDoHkIk9EJm3h5wlhYOAqfui2QuPwz2OFMztL2xrqP,"The Office is an American mockumentary sitcom television series that depicts the everyday work lives of office employees at the Scranton, Pennsylvania, branch of the fictional Dunder Mifflin Paper Company.",https://en.wikipedia.org/wiki/The_Office_(American_TV_series),American sitcom,"['TVSeries', 'Thing']"
Microsoft Forms,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSlR3E0uzdAd5ZFRPWGDgnRPc5kydNAW6D3KCJ3XPMDBHydQxK6,"Microsoft Forms is an online survey creator, part of Office 365. Released by Microsoft in June 2016, Forms allows users to create surveys and quizzes with automatic marking.",https://en.wikipedia.org/wiki/Microsoft_Forms,,"['SoftwareApplication', 'Thing']"
Australian Taxation Office,,The Australian Taxation Office is an Australian statutory agency and the principal revenue collection body for the Australian Government.,https://en.wikipedia.org/wiki/Australian_Taxation_Office,Government agency,"['Corporation', 'GovernmentOrganization', 'Organization', 'Thing']"
Police officer,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSE2IGplvnoApaTrm1J1aZClLhEv6AhTJCXsjFPwcW_pYF6cbmY,"A police officer is a warranted law employee of a police force. In most countries, ""police officer"" is a generic term not specifying a particular rank. In some, the use of the rank ""officer"" is legally reserved for military personnel.",https://en.wikipedia.org/wiki/Police_officer,Occupation,['Thing']
Box office,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRU8jaHwKZJ4xkuzDZZzWGbv_0IwqsENPuN7HHz55BIxn-0truV,"A box office or ticket office is a place where tickets are sold to the public for admission to an event. Patrons may perform the transaction at a countertop, through a hole in a wall or window, or at a wicket.",https://en.wikipedia.org/wiki/Box_office,,['Thing']
Incumbent,,"The incumbent is the current holder of an office or position. In an election, the incumbent is the person holding or acting in the position that is up for election, regardless of whether they are seeking re-election.",https://en.wikipedia.org/wiki/Incumbent,,['Thing']
Business Proposal,,Business Proposal is a South Korean romantic comedy television series based on the webtoon of the same title written by HaeHwa and illustrated by Narak.,https://en.wikipedia.org/wiki/Business_Proposal,Comedy series,"['TVSeries', 'Thing']"
British Post Office scandal,,"The British Post Office scandal or Horizon scandal involved faulty accounting software, provided by Fujitsu and known as Horizon, creating false shortfalls in the accounts of thousands of subpostmasters.",https://en.wikipedia.org/wiki/British_Post_Office_scandal,,['Thing']
School,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQorMXxRy0uvj0g7hxH5YmpCYlt3WiEHEUPBWSHu36_Yem3r4_d,A school is both the educational institution and building designed to provide learning spaces and learning environments for the teaching of students under the direction of teachers.,https://en.wikipedia.org/wiki/School,Building function,['Thing']
Classroom,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRy7W_ZDDEslf0IxH1p18okm-KN9whDgW8TBRS-9qCStYBCU-hG,"A classroom, schoolroom or lecture room is a learning space in which both children and adults learn. Classrooms are found in educational institutions of all kinds, ranging from preschools to universities, and may also be found in other places where education or training is provided, such as corporations and religious and humanitarian organizations.",https://en.wikipedia.org/wiki/Classroom,,['Thing']
Teacher,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSlDUdOCZr7tB4vc-tKFzfQ8GvQmN8zWZoAbr9HD7tHOhT89FjG,"A teacher, also called a schoolteacher or formally an educator, is a person who helps students to acquire knowledge, competence, or virtue, via the practice of teaching.
Informally the role of teacher may be taken on by anyone.",https://en.wikipedia.org/wiki/Teacher,Profession,['Thing']
School 2017,,"School 2017 is a South Korean television series starring Kim Jung-hyun, Kim Se-jeong, Jang Dong-yoon, Han Sun-hwa, and Han Joo-wan. It aired on KBS2 from July 17 to September 5, 2017 every Monday and Tuesday at 22:00 for 23 episodes. The series is the seventh installment of KBS2's School franchise.",https://en.wikipedia.org/wiki/School_2017,Television series,"['TVSeries', 'Thing']"
Everton F.C.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSAZMjE0QhaTKvGj13qutVzL-t4_JbqUfxRjlE3TOlmnL0os2Sc,"Everton Football Club is an English professional association football club based in Liverpool that competes in the Premier League, the top tier of English football.",https://en.wikipedia.org/wiki/Everton_F.C.,Football club,"['Organization', 'Corporation', 'SportsTeam', 'Thing']"
College,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQZP4gHueibGDxw6qdqjxaOAIKkD6woZ0iOW-0En3BCZ-QgmLnK,"A college is an educational institution or a constituent part of one. A college may be a degree-awarding tertiary educational institution, a part of a collegiate or federal university, an institution offering vocational education, a further education institution, or a secondary school.",https://en.wikipedia.org/wiki/College,School category,['Thing']
Accreditation,,"Accreditation is the independent, third-party evaluation of a conformity assessment body against recognised standards, conveying formal demonstration of its impartiality and competence to carry out specific conformity assessment tasks.",https://en.wikipedia.org/wiki/Accreditation,,['Thing']
Campus,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTtm8jN_rWDfnNkvWW2JHRnwg0iRFpnpCyfGc0BnebzxxI8q8Jx,"A campus is by tradition the land on which a college or university and related institutional buildings are situated. Usually a college campus includes libraries, lecture halls, residence halls, student centers or dining halls, and park-like settings.",https://en.wikipedia.org/wiki/Campus,,['Thing']
Atarashii Gakko!,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSKmPkWGAnk_atmagm2rZsBqq2S-VPrEvtDLrwOskNf6MN2fpwL,"Atarashii Gakko!, known in Japan as Atarashii Gakkou no Leaders, is a Japanese girl group formed in 2015. The group is jointly managed with Asobisystem, Twin Planet and TV Asahi Music.",https://en.wikipedia.org/wiki/Atarashii_Gakko!,Girl group,"['MusicGroup', 'Thing']"
Primary school,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLScKHUjiivtRbaIAdkb5N18OicB19h2xcGdxf8fJPFwl-wWQ1,"A primary school, elementary school, or grade school is a school for primary education of children who are 4 to 10 years of age. Primary schooling follows preschool and precedes secondary schooling.",https://en.wikipedia.org/wiki/Primary_school,School category,['Thing']
Houghton Mifflin Harcourt,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTgClAr7Rin1WR67kUEuTezwWOSibKJnygClhlt8Doc6a3Z1lqo,"Houghton Mifflin Harcourt is an American publisher of textbooks, instructional technology materials, assessments, and reference works. The company is based in the Boston Financial District.",https://en.wikipedia.org/wiki/Houghton_Mifflin_Harcourt,Education company,"['Organization', 'Thing', 'Corporation']"
